codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,inicio_observaciones,fin_observaciones,cantidad_observaciones,inicio_automatica
5200006,DGA,dga_web,Alicahue,750,-32.3408,-70.7528,52.0,Rio Ligua,520.0,Rio Ligua Alto (Estero Alicahue),1968-02-17,1993-12-26,8171,-
5414001,DGA,dga_web,Rio Putaendo En Resguardo Los Patos,1218,-32.5017,-70.5811,54.0,Rio Aconcagua,541.0,Aconcagua Medio,2014-01-01,2018-02-04,798,2014-01-01
5404001,DGA,dga_web,Canal Colorado En Bocatoma,1391,-32.8347,-70.3533,54.0,Rio Aconcagua,540.0,Aconcagua Alto,2014-01-01,2018-02-04,1291,2014-01-01
5401007,DGA,dga_web,Portillo,3000,-32.8444,-70.1108,54.0,Rio Aconcagua,540.0,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos),2003-01-01,2018-02-04,3522,2003-01-01
5410002,DGA,dga_web,Rio Aconcagua En Chacabuquito,950,-32.8503,-70.5094,54.0,Rio Aconcagua,541.0,Aconcagua Medio,2000-01-01,2018-02-04,4944,2000-01-01
5410006,DGA,dga_web,Vilcuya,1100,-32.8603,-70.4719,54.0,Rio Aconcagua,541.0,Aconcagua Medio,1972-01-11,1993-12-31,7153,-
5401003,DGA,dga_web,Rio Juncal En Juncal,1800,-32.8625,-70.1675,54.0,Rio Aconcagua,540.0,Aconcagua Alto,2014-01-01,2018-02-04,1231,2014-01-01
5426004,DGA,dga_web,Quillota,130,-32.8958,-71.2092,54.0,Rio Aconcagua,542.0,Aconcagua Bajo,1978-01-01,1993-12-31,5526,-
5403002,DGA,dga_web,Rio Aconcagua En Rio Blanco,1420,-32.9067,-70.3036,54.0,Rio Aconcagua,540.0,Aconcagua Alto,2014-01-01,2018-02-04,1216,2014-01-01
5500003,DGA,dga_web,Las Salinas,20,-33.0019,-71.5467,55.0,Costeras Entre Aconcagua Y Maipo,550.0,E. Marga-Marga,2013-08-14,2018-02-04,1364,2013-08-14
5733008,DGA,dga_web,Rungue Embalse,700,-33.0194,-70.9081,57.0,Rio Maipo,573.0,Rio Mapocho Bajo,1977-07-11,1993-12-31,5774,-
5510001,DGA,dga_web,Rodelillo,110,-33.0503,-71.5833,55.0,Costeras Entre Aconcagua Y Maipo,551.0,Lago Penuelas,2014-01-01,2018-02-04,1200,2014-01-01
5510005,DGA,dga_web,Cerro Colorado Armada De Chile,510,-33.0819,-71.6169,55.0,Costeras Entre Aconcagua Y Maipo,551.0,Lago Penuelas,2014-01-01,2018-02-04,1294,2014-01-01
5427006,DGA,dga_web,Lliu-Lliu Embalse,260,-33.0986,-71.2144,54.0,Rio Aconcagua,542.0,Aconcagua Bajo,1979-03-14,1993-11-28,4856,-
5510002,DGA,dga_web,Lago Peuelas,360,-33.145,-71.5553,55.0,Costeras Entre Aconcagua Y Maipo,551.0,Lago Penuelas,1974-04-02,1993-12-31,6649,-
5706003,DGA,dga_web,Valle Olivares,2787,-33.1869,-70.1122,57.0,Rio Maipo,570.0,Rio Maipo Alto,2014-01-01,2018-02-04,1359,2014-01-01
5721017,DGA,dga_web,Estero Yerba Loca En Piedra Carvajal,3250,-33.2214,-70.2736,57.0,Rio Maipo,572.0,Rio Mapocho Alto,2011-01-01,2018-02-04,2221,2011-01-01
5721016,DGA,dga_web,Rio San Francisco Antes Junta Estero Yerba Loca,1550,-33.3086,-70.3572,57.0,Rio Maipo,572.0,Rio Mapocho Alto,2011-01-01,2018-02-04,2086,2011-01-01
5722001,DGA,dga_web,Estero Arrayan En La Montosa,880,-33.3256,-70.4561,57.0,Rio Maipo,572.0,Rio Mapocho Alto,2013-08-05,2018-02-04,1608,2013-08-05
5721001,DGA,dga_web,Estero Yerba Loca Antes Junta San Francisco,1350,-33.3414,-70.3636,57.0,Rio Maipo,572.0,Rio Mapocho Alto,2013-10-21,2018-02-04,1564,2013-10-21
5722002,DGA,dga_web,Rio Mapocho En Los Almendros,966,-33.3703,-70.4508,57.0,Rio Maipo,572.0,Rio Mapocho Alto,1999-08-02,2016-04-30,4547,1999-08-02
5730012,DGA,dga_web,Cerro Calan,848,-33.395,-70.5367,57.0,Rio Maipo,573.0,Rio Mapocho Bajo,1978-01-03,2018-02-04,8341,2000-01-01
5744002,DGA,dga_web,Los Panguiles,190,-33.4386,-71.0256,57.0,Rio Maipo,574.0,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1980-11-04,1993-12-31,4517,-
5730016,DGA,dga_web,Terraza Oficinas Centrales Dga,560,-33.4486,-70.6444,57.0,Rio Maipo,573.0,Rio Mapocho Bajo,2011-01-01,2018-02-04,2193,2011-01-01
5706001,DGA,dga_web,Rio Olivares Antes Junta Rio Colorado,1500,-33.4878,-70.1367,57.0,Rio Maipo,570.0,Rio Maipo Alto,2016-11-01,2018-02-04,459,2016-11-01
5705001,DGA,dga_web,Rio Colorado Antes Junta Rio Olivares,1500,-33.49,-70.1342,57.0,Rio Maipo,570.0,Rio Maipo Alto,2016-11-13,2018-01-01,326,2016-11-13
5737002,DGA,dga_web,Rio Mapocho Rinconada De Maipu,440,-33.4961,-70.8167,57.0,Rio Maipo,573.0,Rio Mapocho Bajo,2013-08-09,2017-05-13,1237,2013-08-09
5730015,DGA,dga_web,Campus San Joaquin U.C.,570,-33.4975,-70.6142,57.0,Rio Maipo,573.0,Rio Mapocho Bajo,1978-01-03,1981-10-16,1087,-
5730039,DGA,dga_web,Quebrada De Macul,950,-33.5017,-70.5144,57.0,Rio Maipo,573.0,Rio Mapocho Bajo,2003-05-06,2018-02-04,3140,2003-05-06
5703011,DGA,dga_web,Glaciar Echaurren,3850,-33.5722,-70.1283,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),1999-03-04,2002-08-18,1081,-
5710001,DGA,dga_web,Rio Maipo En El Manzano,850,-33.5939,-70.3792,57.0,Rio Maipo,571.0,Rio Maipo Medio,2011-01-01,2018-02-04,2192,2011-01-01
5703009,DGA,dga_web,Laguna Negra,2780,-33.6658,-70.1078,57.0,Rio Maipo,570.0,Rio Maipo Alto (Hasta Despues Junta Rio Colorado),2000-01-01,2018-02-04,3844,2000-01-01
5711003,DGA,dga_web,Pirque,659,-33.6736,-70.5869,57.0,Rio Maipo,571.0,Rio Maipo Medio,1975-07-10,1993-12-31,4692,-
5703008,DGA,dga_web,El Yeso Embalse,2475,-33.6767,-70.0886,57.0,Rio Maipo,570.0,Rio Maipo Alto,1977-07-26,1993-12-31,5449,-
5740005,DGA,dga_web,Melipilla,168,-33.6803,-71.1997,57.0,Rio Maipo,574.0,Rio Maipo Bajo (Entre Rio Mapocho Y Desembocadura),1971-06-03,1993-12-31,5826,-
5702011,DGA,dga_web,Glaciar San Franciscoen Aguas Panimavida,2220,-33.8053,-70.07,57.0,Rio Maipo,570.0,Rio Maipo Alto,2011-01-01,2018-02-04,1990,2011-01-01
5702001,DGA,dga_web,Rio Volcan En Queltehues,1365,-33.8056,-70.2089,57.0,Rio Maipo,570.0,Rio Maipo Alto,2016-11-01,2018-02-04,461,2016-11-01
5701008,DGA,dga_web,Queltehues,1450,-33.8164,-70.2172,57.0,Rio Maipo,570.0,Rio Maipo Alto,1978-01-10,1978-12-31,342,-
